id_usuario|tipo_transaccion|moneda|monto|fecha_transaccion
ed1dc04a-afec-42e6-bb09-ee5da1254602|DEPOSITO|BOLIVARES|4938.81|2024-12-22 01:12:29
ed1dc04a-afec-42e6-bb09-ee5da1254602|RETIRO|BOLIVARES|2001.18|2024-12-08 05:39:21
ec01de9d-856c-45d7-a2ee-646e512e5a27|DEPOSITO|BOLIVARES|2784|2024-12-16 09:02:01
7b40ca11-186b-43e3-b0bc-a0dab66389d5|RETIRO|BOLIVARES|4686.97|2024-12-06 11:47:15
e5eb1223-d782-457f-9aad-c79f8350f26b|DEPOSITO|USD|310.48|2024-12-22 05:29:15
8d4bfb93-d362-4827-b720-5a858ebdf527|RETIRO|BOLIVARES|1222.94|2024-12-19 02:43:09
68e358be-2c49-4437-aca7-f7de11e1f0c3|RETIRO|BOLIVARES|2150.52|2024-12-10 11:23:30
ed1dc04a-afec-42e6-bb09-ee5da1254602|RETIRO|BOLIVARES|2724.69|2024-12-05 08:01:41
a12477c4-2f0c-445e-9847-ff83caf0f46b|RETIRO|BOLIVARES|3218.08|2024-12-06 04:15:36
ed1dc04a-afec-42e6-bb09-ee5da1254602|DEPOSITO|BOLIVARES|3539.37|2024-12-17 11:34:51
ec01de9d-856c-45d7-a2ee-646e512e5a27|DEPOSITO|USD|789.69|2024-12-24 05:50:03
4b9b4adb-bae2-4eaf-9a09-93570ffac584|DEPOSITO|BOLIVARES|1155.86|2024-12-17 06:44:58
11dce9fa-9009-4535-ba0c-39ed458f96f7|RETIRO|BOLIVARES|2622.42|2024-12-01 09:26:21
11dce9fa-9009-4535-ba0c-39ed458f96f7|RETIRO|BOLIVARES|4824.01|2024-12-14 09:33:34
7b40ca11-186b-43e3-b0bc-a0dab66389d5|DEPOSITO|BOLIVARES|4016.07|2024-12-18 07:31:54
3827447c-e6db-4edc-a6d1-2d6470e060be|RETIRO|BOLIVARES|1229.06|2024-12-07 09:03:09
7b40ca11-186b-43e3-b0bc-a0dab66389d5|RETIRO|BOLIVARES|2267.23|2024-12-14 02:00:27
9afdc5c6-a578-4abd-ad94-e2b6b4c986ea|RETIRO|BOLIVARES|4504.64|2024-12-14 08:45:25
8b023854-12c2-4df1-8ca1-5c67b62ff459|RETIRO|BOLIVARES|2947.35|2024-12-12 10:37:57
7b40ca11-186b-43e3-b0bc-a0dab66389d5|RETIRO|BOLIVARES|2459.59|2024-12-02 05:36:04
11dce9fa-9009-4535-ba0c-39ed458f96f7|DEPOSITO|BOLIVARES|3126.51|2024-12-07 12:14:20
a12477c4-2f0c-445e-9847-ff83caf0f46b|RETIRO|BOLIVARES|2815.35|2024-12-18 03:14:33
367dfe1b-2600-4aea-8b09-705edc64ca36|RETIRO|BOLIVARES|2529.93|2024-12-22 04:18:22
367dfe1b-2600-4aea-8b09-705edc64ca36|DEPOSITO|BOLIVARES|3794.39|2024-12-14 04:51:33
68e358be-2c49-4437-aca7-f7de11e1f0c3|RETIRO|USD|787.47|2024-12-23 06:48:26
d6662e06-0281-4ca9-a094-c79433821975|RETIRO|BOLIVARES|3662.35|2024-12-06 03:23:28
8b023854-12c2-4df1-8ca1-5c67b62ff459|DEPOSITO|BOLIVARES|3352.53|2024-12-22 08:57:34
e5eb1223-d782-457f-9aad-c79f8350f26b|DEPOSITO|BOLIVARES|3056.38|2024-12-04 04:22:25
367dfe1b-2600-4aea-8b09-705edc64ca36|DEPOSITO|BOLIVARES|3720.44|2024-12-04 11:08:36
3827447c-e6db-4edc-a6d1-2d6470e060be|RETIRO|BOLIVARES|4447.5|2024-12-17 12:50:08
4b9b4adb-bae2-4eaf-9a09-93570ffac584|RETIRO|BOLIVARES|4868.97|2024-12-07 09:15:00
4b9b4adb-bae2-4eaf-9a09-93570ffac584|DEPOSITO|BOLIVARES|1162.08|2024-12-28 12:35:35
30086e11-2681-40df-82f8-36b1c4c823dc|RETIRO|BOLIVARES|2327.49|2024-12-16 12:56:46
ec01de9d-856c-45d7-a2ee-646e512e5a27|RETIRO|USD|563.51|2024-12-03 08:50:58
4b9b4adb-bae2-4eaf-9a09-93570ffac584|RETIRO|BOLIVARES|1289.00|2024-12-01 02:57:40
68e358be-2c49-4437-aca7-f7de11e1f0c3|RETIRO|BOLIVARES|2852.12|2024-12-12 11:09:20
ed1dc04a-afec-42e6-bb09-ee5da1254602|RETIRO|BOLIVARES|1446.3|2024-12-11 10:09:16
7b40ca11-186b-43e3-b0bc-a0dab66389d5|DEPOSITO|BOLIVARES|1380.68|2024-12-12 11:23:04
404334eb-382b-405c-9430-124710d94fa9|DEPOSITO|BOLIVARES|1008.12|2024-12-12 12:51:26
4b9b4adb-bae2-4eaf-9a09-93570ffac584|RETIRO|USD|405.41|2024-12-08 02:31:50
9afdc5c6-a578-4abd-ad94-e2b6b4c986ea|DEPOSITO|BOLIVARES|4429.5|2024-12-19 05:36:52
a12477c4-2f0c-445e-9847-ff83caf0f46b|DEPOSITO|BOLIVARES|1576.11|2024-12-27 08:36:04
30086e11-2681-40df-82f8-36b1c4c823dc|DEPOSITO|USD|1155.67|2024-12-17 12:45:26
ed1dc04a-afec-42e6-bb09-ee5da1254602|DEPOSITO|BOLIVARES|3127.99|2024-12-30 12:53:59
ed1dc04a-afec-42e6-bb09-ee5da1254602|DEPOSITO|BOLIVARES|1043.26|2024-12-06 04:03:33
dfc59397-d12f-43a6-b06a-cb2857da8fac|DEPOSITO|BOLIVARES|1772.00|2024-12-11 09:12:19
11dce9fa-9009-4535-ba0c-39ed458f96f7|DEPOSITO|USD|1178.33|2024-12-23 12:23:33
ec01de9d-856c-45d7-a2ee-646e512e5a27|RETIRO|BOLIVARES|4843.01|2024-12-19 01:34:07
ec01de9d-856c-45d7-a2ee-646e512e5a27|DEPOSITO|BOLIVARES|2153.93|2024-12-28 09:37:54
a12477c4-2f0c-445e-9847-ff83caf0f46b|DEPOSITO|BOLIVARES|1678.43|2024-12-24 04:16:49
7b40ca11-186b-43e3-b0bc-a0dab66389d5|RETIRO|BOLIVARES|1150.94|2024-12-29 04:04:55
382f2069-1964-4ed1-3888-4038b64327ae|DEPOSITO|BOLIVARES|1212.56|2024-12-14 11:46:11
68e358be-2c49-4437-aca7-f7de11e1f0c3|DEPOSITO|USD|1218.46|2024-12-04 02:16:58
a12477c4-2f0c-445e-9847-ff83caf0f46b|DEPOSITO|BOLIVARES|3919.99|2024-12-14 10:56:53
a12477c4-2f0c-445e-9847-ff83caf0f46b|RETIRO|BOLIVARES|1727.84|2024-12-14 04:07:30
345b44c7-3558-4cb0-b72c-a990899d7de1|DEPOSITO|USD|997.91|2024-12-26 06:32:48
382f2069-1964-4ed1-3888-4038b64327ae|DEPOSITO|USD|1054.91|2024-12-22 10:53:05
ed1dc04a-afec-42e6-bb09-ee5da1254602|RETIRO|BOLIVARES|1482.2|2024-12-25 08:17:35
8b023854-12c2-4df1-8ca1-5c67b62ff459|RETIRO|BOLIVARES|4008.91|2024-12-08 04:11:48
